Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
0000Userzap,DE,67,316,46.38.250.39,threepwood.userzap.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.3.7 on Linux,0,0,2013-11-23,NETCUP-AS netcup GmbH- DE,197540,219,[2001:470:5260::1]:9001
0001,BG,63,111,91.92.109.43,insight.firstnetwork.cf,443,80,0,1,1,0,0,1,1,1,1,Tor 0.3.3.6 on Linux,0,0,2018-01-12,NETERRA-AS- BG,34224,121,None
000p,FI,543,1607,88.113.240.71,88-113-240-71.elisa-laajakaista.fi,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.2.10 on Linux,0,0,2017-03-19,ELISA-AS Helsinki- Finland- FI,719,2000,None
00brilliano001,US,52,332,192.155.83.101,brilliano.com,9001,None,0,0,1,0,0,1,1,1,1,Tor 0.3.1.9 on Linux,0,0,2013-06-18,LINODE-AP Linode- LLC- US,63949,201,None
00was00,BG,3013,1083,78.142.19.43,srv.sterydyonline.pl,9100,None,0,1,1,1,0,1,1,1,1,Tor 0.3.3.3-alpha on Linux,0,0,2018-03-07,YURTEH-AS- UA,30860,5040,None
0d0a1,NL,471,265,83.163.164.15,tent.xs4all.nl,9003,None,0,0,1,0,0,1,1,1,1,Tor 0.3.3.7 on Linux,0,0,2018-01-30,XS4ALL-NL Amsterdam- NL,3265,1510,[2001:980:c4f2:1:21e:6ff:fe30:e6bb]:9003
0x000000000,US,550,21,198.58.100.240,trnsz.com,9001,9091,0,1,1,0,0,1,1,1,1,Tor 0.3.5.0-alpha-dev on Linux,0,0,2016-09-30,LINODE-AP Linode- LLC- US,63949,2220,[2600:3c00::f03c:91ff:feae:3efa]:9001
0x00A,CZ,113,327,81.2.247.119,119.247.forpsi.net,443,80,0,0,1,0,0,1,1,1,1,Tor 0.3.3.7 on Linux,0,0,2017-10-22,INTERNET-CZ Ktis 2- 384 03 Ktis- CZ,24806,382,None
0x00B,CZ,102,264,80.211.193.7,7.193.forpsi.net,443,80,0,0,1,0,0,1,1,1,1,Tor 0.3.3.7 on Linux,0,0,2017-07-06,INTERNET-CZ Ktis 2- 384 03 Ktis- CZ,24806,439,None
0x0420,SE,1704,4921,213.89.10.205,c213-89-10-205.bredband.comhem.se,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.11 on Linux,0,0,2014-04-10,COMHEM-SWEDEN- SE,39651,5610,[2a04:ae0b:fc00:5::764]:9050
0x1ea7deadbeef,DE,4482,146,188.68.45.180,188.68.45.180,9001,80,0,0,1,1,0,1,1,1,1,Tor 0.3.3.7 on Linux,0,0,2018-02-13,NETCUP-AS netcup GmbH- DE,197540,10600,[2a03:4000:21:47a:de1:ea7:dead:beef]:9090
0x3d001,FR,32976,985,91.121.23.100,0x3d.lu,8001,8030,0,0,1,1,0,1,1,1,1,Tor 0.3.3.5-rc on Linux,0,0,2016-05-31,OVH- FR,16276,96600,None
0x3d002,FR,28623,985,91.121.23.100,0x3d.lu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.3.5-rc on Linux,0,0,2014-04-22,OVH- FR,16276,74400,None
0x3d003,LU,4202,985,146.0.140.155,146.0.140.155,19001,19030,0,0,1,1,0,1,1,1,1,Tor 0.3.3.5-rc on Linux,0,0,2014-08-20,EPT-LU Entreprise des P. et T. Luxembourg- LU,6661,16700,None
0x3d004,DE,43952,986,62.138.7.171,snowden.pep-security.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.3.5-rc on Linux,0,0,2016-08-24,GD-EMEA-DC-SXB1- DE,8972,141000,None
0x3d005,DE,36391,986,62.138.7.171,snowden.pep-security.net,8001,8030,0,0,1,1,0,1,1,1,1,Tor 0.3.3.5-rc on Linux,0,0,2016-09-23,GD-EMEA-DC-SXB1- DE,8972,111000,None
0x3d006,NL,12966,988,51.15.13.245,elsa.0x3d.lu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.3.5-rc on Linux,0,0,2017-03-20,AS12876- FR,12876,51500,None
0x3d007,NL,11234,988,51.15.13.245,elsa.0x3d.lu,8001,8030,0,0,1,1,0,1,1,1,1,Tor 0.3.3.5-rc on Linux,0,0,2017-03-20,AS12876- FR,12876,42900,None
0x3d069,NL,488,653,37.48.120.47,sonix.dk,2195,None,0,0,1,0,0,1,1,1,0,Tor 0.3.3.6 on Linux,0,0,2015-01-20,LEASEWEB-NL-AMS-01 Netherlands- NL,60781,1680,None
0x403,US,5246,177,159.69.29.109,mail.khomutsky.com,443,None,0,0,1,0,0,1,1,1,0,Tor 0.3.4.2-alpha on Linux,0,0,2018-06-20,HETZNER-AS- DE,24940,33200,[2a01:4f8:1c1c:2d48::1]:443
0x42FF,DE,4122,1226,188.40.166.29,ghostshell.subsignal.org,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.3.2.10 on Linux,0,0,2015-07-27,HETZNER-AS- DE,24940,13500,None
0x66726566,LV,378,1303,185.61.149.12,mail.noreply-yahoo.cf,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.2.10 on Linux,0,0,2017-09-23,MAKONIX- LV,52173,1690,None
0x766c6164,RO,2941,11,5.14.33.209,5-14-33-209.residential.rdsnet.ro,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.3.6 on FreeBSD,0,0,2018-05-04,RCS-RDS 73-75 Dr. Staicovici- RO,8708,10200,None
0xbadc0ffe,DE,146,31,87.149.125.145,p57957D91.dip0.t-ipconnect.de,9001,9003,0,0,1,0,0,0,1,1,1,Tor 0.3.3.5-rc on Linux,0,0,2016-04-23,DTAG Internet service provider operations- DE,3320,427,None
0xbaddad,GB,297,164,46.101.9.51,roof.rlogin.net,9001,None,0,0,1,0,0,1,1,1,1,Tor 0.3.3.7 on Linux,0,0,2014-04-08,DIGITALOCEAN-ASN-2- GB,202109,821,None
0xDEADBEEF,DE,243,36,93.231.89.238,p5DE759EE.dip0.t-ipconnect.de,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.3.3.7 on Linux,0,0,2016-11-28,DTAG Internet service provider operations- DE,3320,1470,None
0xdeadbeef,FR,2535,1267,37.187.96.183,mail.0xdeadbeef.club,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.2.10 on Linux,0,0,2018-04-16,OVH- FR,16276,10400,None
0xFFFF,FR,5448,116,90.87.11.169,AMontsouris-681-1-4-169.w90-87.abo.wanadoo.fr,9666,9030,0,0,1,0,0,0,1,1,1,Tor 0.3.2.10 on Linux,0,0,2016-03-11,AS3215- FR,3215,17200,None
0xPizza,DE,44,7,84.119.226.97,ip-84-119-226-97.unity-media.net,9001,None,0,0,1,0,0,0,1,1,1,Tor 0.3.2.10 on Linux,0,0,2017-09-06,LGI-UPC formerly known as UPC Broadband Holding B.V.- AT,6830,405,None
0ZQIX7g6,RU,1622,1101,77.37.142.179,broadband-77-37-142-179.ip.moscow.rt.ru,9749,None,0,0,1,1,0,1,1,1,1,Tor 0.3.0.10 on Linux,0,0,2016-05-22,NCNET-AS- RU,42610,5770,None
1001nybrgsvgn17,SE,75,333,83.254.5.211,c83-254-5-211.bredband.comhem.se,64511,64520,0,0,1,0,0,1,1,1,1,Tor 0.3.3.6 on Darwin,0,0,2017-11-05,COMHEM-SWEDEN- SE,39651,217,None
